algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,9,128,0.03,0.0290038,146.267,km1,67859,51404,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,0,16,0.03,0.0285309,65.3674,km1,26471,23560,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,1,16,0.03,0.028058,64.5725,km1,26682,23719,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,2,16,0.03,0.0294767,65.5498,km1,26379,23489,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,3,16,0.03,0.0261665,64.78,km1,26506,23575,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,4,16,0.03,0.0279004,62.8629,km1,26797,23820,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,5,16,0.03,0.0286885,71.4508,km1,26712,23779,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,6,16,0.03,0.0290038,65.0871,km1,26906,23937,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,7,16,0.03,0.0297919,63.08,km1,26909,23911,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,8,16,0.03,0.0241173,64.8741,km1,26220,23270,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,9,16,0.03,0.026797,70.1167,km1,27071,24040,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,0,2,0.03,0.0299334,94.4024,km1,3888,3888,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,1,2,0.03,0.0299728,96.9221,km1,3889,3889,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,2,2,0.03,0.0299137,84.0684,km1,3870,3870,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,3,2,0.03,0.0299728,94.6455,km1,3905,3905,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,4,2,0.03,0.0299334,94.433,km1,3885,3885,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,5,2,0.03,0.0299334,95.6661,km1,3884,3884,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,6,2,0.03,0.0299334,98.7594,km1,3904,3904,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,7,2,0.03,0.0299531,91.6893,km1,3881,3881,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,8,2,0.03,0.0299728,73.8724,km1,3870,3870,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,9,2,0.03,0.0299728,79.768,km1,3888,3888,no
