algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,1,128,0.03,0.0283688,10.3782,km1,15639,14043,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,2,128,0.03,0.0283688,10.1631,km1,15731,14128,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,3,128,0.03,0.0283688,9.92738,km1,15530,13895,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,4,128,0.03,0.0283688,9.83595,km1,15728,14117,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,5,128,0.03,0.0283688,10.0465,km1,15535,13932,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,6,128,0.03,0.0283688,10.1355,km1,15558,13925,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,7,128,0.03,0.0283688,10.2054,km1,15632,14024,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,8,128,0.03,0.0283688,10.1989,km1,15679,14063,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,9,128,0.03,0.0283688,10.1697,km1,15563,13963,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,0,16,0.03,0.017175,3.32219,km1,4485,4344,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,1,16,0.03,0.0216168,3.112,km1,4338,4191,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,2,16,0.03,0.0242819,3.01208,km1,4394,4247,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,3,16,0.03,0.0198401,2.9627,km1,4450,4299,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,4,16,0.03,0.0216168,3.01517,km1,4368,4218,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,5,16,0.03,0.0290198,3.19728,km1,4356,4203,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,6,16,0.03,0.0281315,3.15549,km1,4411,4257,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,7,16,0.03,0.0242819,2.93974,km1,4493,4349,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,8,16,0.03,0.0242819,3.03487,km1,4393,4243,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,9,16,0.03,0.0242819,3.03654,km1,4423,4273,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,0,2,0.03,0.0228064,1.13322,km1,460,460,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,1,2,0.03,0.0228064,1.20916,km1,460,460,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,2,2,0.03,0.0228064,1.02767,km1,460,460,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,3,2,0.03,0.0228064,1.03919,km1,460,460,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,4,2,0.03,0.0228064,0.984927,km1,460,460,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,5,2,0.03,0.0228064,1.01425,km1,460,460,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,6,2,0.03,0.0228064,1.06699,km1,460,460,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,7,2,0.03,0.0228064,1.00235,km1,460,460,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,8,2,0.03,0.0228064,1.1424,km1,460,460,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,9,2,0.03,0.0261755,0.982166,km1,466,466,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,0,32,0.03,0.026643,4.91009,km1,6895,6571,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,1,32,0.03,0.0290112,5.14161,km1,6827,6487,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,2,32,0.03,0.0284192,4.97507,km1,6957,6612,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,3,32,0.03,0.0230906,4.66083,km1,6960,6627,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,4,32,0.03,0.026643,4.77125,km1,6941,6614,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,5,32,0.03,0.0278271,4.87019,km1,6954,6624,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,6,32,0.03,0.026643,4.68303,km1,6893,6568,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,7,32,0.03,0.0236827,4.61477,km1,6908,6587,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,8,32,0.03,0.0284192,4.85201,km1,6890,6555,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,9,32,0.03,0.0284192,4.82274,km1,6953,6632,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,0,4,0.03,0.0211773,1.50007,km1,1240,1222,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,1,4,0.03,0.0225102,1.85065,km1,1237,1219,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,2,4,0.03,0.0211773,1.41491,km1,1240,1222,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,3,4,0.03,0.0211773,1.42156,km1,1240,1222,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,4,4,0.03,0.0181414,1.4136,km1,1245,1229,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,5,4,0.03,0.0151055,1.4057,km1,1242,1221,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,6,4,0.03,0.022288,1.51524,km1,1243,1225,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,7,4,0.03,0.0213254,1.35142,km1,1244,1226,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,8,4,0.03,0.0225102,1.43891,km1,1237,1219,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,9,4,0.03,0.0225102,1.4191,km1,1237,1219,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,0,64,0.03,0.0295858,6.93745,km1,10554,9809,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,1,64,0.03,0.0295858,7.01264,km1,10389,9632,no
