algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,2,16,0.03,0.0294767,34.4817,cut,40424,25149,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,3,16,0.03,0.0299496,30.6835,cut,41778,24936,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,4,16,0.03,0.0285309,40.438,cut,41027,24763,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,5,16,0.03,0.0291614,43.4588,cut,39875,24937,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,6,16,0.03,0.0299496,33.4981,cut,38124,24767,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,7,16,0.03,0.0299496,41.1832,cut,43727,24867,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,8,16,0.03,0.0294767,36.3888,cut,39821,25115,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,9,16,0.03,0.0283733,48.7876,cut,41828,24972,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,0,2,0.03,0.0299728,107.941,cut,3862,3862,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,1,2,0.03,0.029894,76.2293,cut,3868,3868,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,2,2,0.03,0.0299137,96.7869,cut,3879,3879,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,3,2,0.03,0.0299137,63.4238,cut,3874,3874,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,4,2,0.03,0.0299728,65.5535,cut,3866,3866,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,5,2,0.03,0.0299137,83.693,cut,3881,3881,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,6,2,0.03,0.0298743,70.8647,cut,3868,3868,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,7,2,0.03,0.0299925,77.8444,cut,3874,3874,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,8,2,0.03,0.0293619,98.6122,cut,3880,3880,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,9,2,0.03,0.0284949,120.442,cut,3889,3889,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,0,32,0.03,0.0296343,34.7209,cut,62661,32806,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,1,32,0.03,0.0299496,32.3765,cut,60033,32807,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,2,32,0.03,0.0296343,46.7171,cut,62706,33192,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,3,32,0.03,0.0299496,35.8437,cut,61197,33256,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,4,32,0.03,0.0296343,44.8299,cut,61557,33439,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,5,32,0.03,0.029319,31.7978,cut,60685,32985,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,6,32,0.03,0.029319,34.9069,cut,62956,32968,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,7,32,0.03,0.0299496,34.627,cut,63051,33009,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,8,32,0.03,0.0299496,45.2966,cut,61710,33294,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,9,32,0.03,0.0299496,50.1214,cut,62485,32824,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,0,4,0.03,0.0298743,47.6652,cut,14074,10690,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,1,4,0.03,0.0298743,35.53,cut,14068,10651,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,2,4,0.03,0.0295984,49.8245,cut,14164,10802,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,3,4,0.03,0.0299925,47.3356,cut,13947,10528,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,4,4,0.03,0.0299137,47.648,cut,13962,10682,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,5,4,0.03,0.0299531,34.3742,cut,14061,10648,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,6,4,0.03,0.0294013,36.3749,cut,10955,10554,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,7,4,0.03,0.0299137,43.6814,cut,13942,10582,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,8,4,0.03,0.0296378,51.4471,cut,14117,10641,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,9,4,0.03,0.0299925,49.1637,cut,14014,10550,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,0,64,0.03,0.0296343,34.7999,cut,89003,41903,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,1,64,0.03,0.0296343,48.6619,cut,91180,42232,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,2,64,0.03,0.0296343,47.8946,cut,88554,42498,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,3,64,0.03,0.0296343,34.7409,cut,88676,42025,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,4,64,0.03,0.0296343,36.3993,cut,85295,42384,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,5,64,0.03,0.0296343,49.1662,cut,91234,42311,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,6,64,0.03,0.0296343,49.5311,cut,87965,42328,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,7,64,0.03,0.0296343,50.277,cut,88593,42368,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,8,64,0.03,0.0296343,36.3309,cut,88151,42088,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,9,64,0.03,0.0296343,35.8273,cut,93215,42439,no
