"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
hMetis-K,af_shell1.mtx.hgr,no,2,16,0.03,1,0.027286556379539917,5989.006653308868,km1,16510,16330,no
hMetis-K,af_shell1.mtx.hgr,no,3,16,0.03,1,0.0025670279520821904,4248.49369597435,km1,16505,16310,no
hMetis-K,af_shell1.mtx.hgr,no,4,16,0.03,1,0.012708372947962232,27385.583122968674,km1,16650,16455,no
hMetis-K,af_shell1.mtx.hgr,no,5,16,0.03,1,0.0011409013120364797,8901.149622678757,km1,16415,16235,no
hMetis-K,af_shell1.mtx.hgr,no,1,2,0.03,1,0.007297130270809804,24668.264728069305,km1,1820,1820,no
hMetis-K,af_shell1.mtx.hgr,no,2,2,0.03,1,0.013298841649896254,21536.318804502487,km1,1815,1815,no
hMetis-K,af_shell1.mtx.hgr,no,3,2,0.03,1,0.010624811827530944,24131.283166885376,km1,1820,1820,no
hMetis-K,af_shell1.mtx.hgr,no,4,2,0.03,1,0.0036525266610676344,1033.0439541339874,km1,1820,1820,no
hMetis-K,af_shell1.mtx.hgr,no,5,2,0.03,1,6.73459362670048e-05,3951.038087129593,km1,1830,1830,no
hMetis-K,af_shell1.mtx.hgr,no,1,32,0.03,1,0.0027254864676427015,15748.80817079544,km1,27310,26785,no
hMetis-K,af_shell1.mtx.hgr,no,2,32,0.03,1,0.0011409013120364797,1889.33309340477,km1,27260,26735,no
hMetis-K,af_shell1.mtx.hgr,no,3,32,0.03,1,0.004943905685491634,27779.44024205208,km1,27265,26740,no
hMetis-K,af_shell1.mtx.hgr,no,4,32,0.03,1,0.003042403498763946,19912.48933839798,km1,27300,26775,no
hMetis-K,af_shell1.mtx.hgr,no,5,32,0.03,1,0.0027254864676427015,6153.631241321564,km1,27265,26740,no
hMetis-K,af_shell1.mtx.hgr,no,1,4,0.03,1,0.006148287828608545,11254.71954369545,km1,4460,4430,no
hMetis-K,af_shell1.mtx.hgr,no,2,4,0.03,1,0.0011171502368991781,22264.201704263687,km1,4380,4350,no
hMetis-K,af_shell1.mtx.hgr,no,3,4,0.03,1,0.0008794586971334617,27851.692728996277,km1,4470,4440,no
hMetis-K,af_shell1.mtx.hgr,no,4,4,0.03,1,0.009872121951606028,23649.363115787506,km1,4480,4450,no
hMetis-K,af_shell1.mtx.hgr,no,5,4,0.03,1,0.0020283011393347206,26471.374526262283,km1,4465,4435,no
hMetis-K,af_shell1.mtx.hgr,no,1,64,0.03,1,0.003295728229179895,27718.02051258087,km1,42595,41365,no
hMetis-K,af_shell1.mtx.hgr,no,2,64,0.03,1,0.00392952211940667,10257.117572307587,km1,42600,41340,no
hMetis-K,af_shell1.mtx.hgr,no,3,64,0.03,1,0.009633667131448753,1322.6428444385529,km1,42730,41515,no
hMetis-K,af_shell1.mtx.hgr,no,4,64,0.03,1,0.008366079350994982,14899.34772014618,km1,42590,41360,no
hMetis-K,af_shell1.mtx.hgr,no,5,64,0.03,1,0.010901254911902747,3448.676148891449,km1,42675,41400,no
hMetis-K,af_shell1.mtx.hgr,no,1,8,0.03,1,0.0059898268020979195,28778.5591609478,km1,8755,8725,no
hMetis-K,af_shell1.mtx.hgr,no,2,8,0.03,1,0.0037713724309507146,12858.212570667267,km1,8810,8780,no
hMetis-K,af_shell1.mtx.hgr,no,3,8,0.03,1,0.006069057315353232,27664.449424266815,km1,8810,8780,no
hMetis-K,af_shell1.mtx.hgr,no,4,8,0.03,1,0.008525203226266598,20577.296008348465,km1,8780,8750,no
hMetis-K,af_shell1.mtx.hgr,no,5,8,0.03,1,0.0021075316525900334,10097.798774242401,km1,8745,8715,no
hMetis-K,Andrews.mtx.hgr,no,1,128,0.03,1,0.05970149253731338,26249.596477270126,km1,86034,47768,no
hMetis-K,Andrews.mtx.hgr,no,2,128,0.03,1,0.02771855010660973,15073.26164150238,km1,86184,47933,no
hMetis-K,Andrews.mtx.hgr,no,3,128,0.03,1,0.06396588486140731,17413.79642701149,km1,86453,47948,no
hMetis-K,Andrews.mtx.hgr,no,4,128,0.03,1,0.02771855010660973,27119.454199552536,km1,85828,47677,no
hMetis-K,Andrews.mtx.hgr,no,5,128,0.03,1,0.04477611940298498,1380.3633031845093,km1,86300,47726,no
hMetis-K,Andrews.mtx.hgr,no,1,16,0.03,1,0.029866666666666708,2926.073667049408,km1,26810,21151,no
hMetis-K,Andrews.mtx.hgr,no,2,16,0.03,1,0.029866666666666708,8522.07969045639,km1,26732,21094,no
hMetis-K,Andrews.mtx.hgr,no,3,16,0.03,1,0.029866666666666708,23400.216232061386,km1,26583,20823,no
hMetis-K,Andrews.mtx.hgr,no,4,16,0.03,1,0.029866666666666708,24306.087738752365,km1,26728,21036,no
hMetis-K,Andrews.mtx.hgr,no,5,16,0.03,1,0.029866666666666708,18581.61922597885,km1,26905,21253,no
hMetis-K,Andrews.mtx.hgr,no,1,2,0.03,1,0.029966666666666697,9589.44413948059,km1,4029,4029,no
hMetis-K,Andrews.mtx.hgr,no,2,2,0.03,1,0.030000000000000027,8813.834594488144,km1,4029,4029,no
hMetis-K,Andrews.mtx.hgr,no,3,2,0.03,1,0.030000000000000027,1315.6020681858063,km1,4030,4030,no
hMetis-K,Andrews.mtx.hgr,no,4,2,0.03,1,0.029966666666666697,11417.760527849197,km1,4029,4029,no
