"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
PaToH-D,af_shell1.mtx.hgr,no,5,32,0.03,1,0.00019015021867274662,17996.336627483368,km1,27765,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,1,4,0.03,1,7.92305132546467e-06,14282.165090560913,km1,4360,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,2,4,0.03,1,7.92305132546467e-06,6361.78989648819,km1,4385,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,3,4,0.03,1,7.92305132546467e-06,8670.422720193863,km1,4375,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,4,4,0.03,1,7.92305132546467e-06,4899.043397426605,km1,4350,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,5,4,0.03,1,4.7538307953232106e-05,7364.826888799667,km1,4385,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,1,64,0.03,1,0.0020281404487261234,19872.522624015808,km1,43565,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,2,64,0.03,1,0.00012675877804535496,28653.624967336655,km1,43610,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,3,64,0.03,1,0.0007605526682723518,14935.710316896439,km1,43550,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,4,64,0.03,1,0.0007605526682723518,5176.357238531113,km1,43515,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,5,64,0.03,1,0.00012675877804535496,314.18981647491455,km1,43670,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,1,8,0.03,1,4.7538307953232106e-05,15025.755812883377,km1,8685,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,2,8,0.03,1,4.7538307953232106e-05,28242.02385020256,km1,8735,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,3,8,0.03,1,4.7538307953232106e-05,8876.086296796799,km1,8720,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,4,8,0.03,1,4.7538307953232106e-05,2317.217570066452,km1,8765,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,5,8,0.03,1,4.7538307953232106e-05,22543.20626616478,km1,8680,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,1,128,0.03,1,0.006396588486140775,14738.911748886108,km1,89302,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,2,128,0.03,1,0.008528784648187626,571.6170268058777,km1,89190,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,3,128,0.03,1,0.008528784648187626,24847.537756204605,km1,89407,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,4,128,0.03,1,0.008528784648187626,15595.249386787415,km1,89126,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,5,128,0.03,1,0.010660980810234477,8836.139576911926,km1,89264,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,1,16,0.03,1,0.011200000000000099,22507.796417951584,km1,27277,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,2,16,0.03,1,0.00986666666666669,4507.091637372971,km1,27250,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,3,16,0.03,1,0.011200000000000099,14800.479710817337,km1,27260,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,4,16,0.03,1,0.009600000000000053,20509.109880685806,km1,27183,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,5,16,0.03,1,0.009066666666666556,19856.863041639328,km1,27223,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,1,2,0.03,1,0.020000000000000018,191.12209224700928,km1,4210,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,2,2,0.03,1,0.020000000000000018,1505.1560294628143,km1,4210,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,3,2,0.03,1,0.020000000000000018,123.344322681427,km1,4210,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,4,2,0.03,1,0.020000000000000018,483.5907073020935,km1,4210,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,5,2,0.03,1,0.020000000000000018,836.9649753570557,km1,4210,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,1,32,0.03,1,0.010133333333333328,3264.919752597809,km1,41964,2147483647,no
PaToH-D,Andrews.mtx.hgr,no,2,32,0.03,1,0.010133333333333328,16700.449973106384,km1,41818,2147483647,no
