"graph","k","seed","epsilon","km1","imbalance","totalPartitionTime","failed","timeout","algorithm","objective","cut"
"2cubes_sphere.mtx.hgr",2,9,0.03,4118,0.03,49.26,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",2,10,0.03,4045,0.03,48.14,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",4,1,0.03,11221,0.029,97.92,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",4,2,0.03,11149,0.03,102.02,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",4,3,0.03,11113,0.03,95.82,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",4,4,0.03,11135,0.023,95.33,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",4,5,0.03,11393,0.03,98.21,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",4,6,0.03,11560,0.03,96.32,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",4,7,0.03,11298,0.026,100.11,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",4,8,0.03,11471,0.03,98.16,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",4,9,0.03,11264,0.03,101.84,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",4,10,0.03,11119,0.03,99.69,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",8,1,0.03,20240,0.03,142.06,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",8,2,0.03,19682,0.03,144.58,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",8,3,0.03,20069,0.03,140.45,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",8,4,0.03,19899,0.03,142.96,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",8,5,0.03,19848,0.03,141.02,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",8,6,0.03,20090,0.03,140.68,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",8,7,0.03,20163,0.03,143.95,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",8,8,0.03,19777,0.03,141.34,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",8,9,0.03,19953,0.03,144.51,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",8,10,0.03,20013,0.03,142.07,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",16,1,0.03,28989,0.03,187.02,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",16,2,0.03,29391,0.03,186.43,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",16,3,0.03,29372,0.03,182.74,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",16,4,0.03,29607,0.03,185.37,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",16,5,0.03,29754,0.03,186.03,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",16,6,0.03,29509,0.03,181.88,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",16,7,0.03,29539,0.03,188.15,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",16,8,0.03,29660,0.03,183.06,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",16,9,0.03,29400,0.03,187.37,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",16,10,0.03,29176,0.03,183.52,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",32,1,0.03,40799,0.03,226.1,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",32,2,0.03,40886,0.03,226.9,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",32,3,0.03,40667,0.03,222.58,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",32,4,0.03,41378,0.03,222.14,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",32,5,0.03,41388,0.03,223.82,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",32,6,0.03,40879,0.03,220.4,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",32,7,0.03,41011,0.03,225.93,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",32,8,0.03,40921,0.03,224.22,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",32,9,0.03,40584,0.03,224.95,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",32,10,0.03,40791,0.03,224.26,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",64,1,0.03,55805,0.03,261.31,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",64,2,0.03,56108,0.03,261.6,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",64,3,0.03,55403,0.03,259.85,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",64,4,0.03,56335,0.03,262.06,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",64,5,0.03,55382,0.03,260.29,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",64,6,0.03,55598,0.03,261.92,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",64,7,0.03,55864,0.03,264.04,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",64,8,0.03,56004,0.03,262.01,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",64,9,0.03,55767,0.03,262.19,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",64,10,0.03,55427,0.03,262.17,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",128,1,0.03,73894,0.03,293.39,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",128,2,0.03,74095,0.03,304.78,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",128,3,0.03,74165,0.029,289.88,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",128,4,0.03,74597,0.03,287.34,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",128,5,0.03,74279,0.03,291.09,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",128,6,0.03,74704,0.03,290.5,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",128,7,0.03,74277,0.03,290.55,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",128,8,0.03,75219,0.03,291.72,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",128,9,0.03,74479,0.03,291.84,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",128,10,0.03,74754,0.03,291.74,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",2,1,0.03,470,0.03,10.52,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",2,2,0.03,470,0.03,10.61,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",2,3,0.03,468,0.012,10.69,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",2,4,0.03,477,0.03,10.14,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",2,5,0.03,475,0.002,10.11,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",2,6,0.03,470,0.025,10.01,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",2,7,0.03,472,0.027,10.26,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",2,8,0.03,475,0.01,10.21,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",2,9,0.03,469,0.002,10.11,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",2,10,0.03,471,0.015,10.1,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",4,1,0.03,1270,0.027,19.79,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",4,2,0.03,1263,0.03,20.81,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",4,3,0.03,1262,0.029,20.46,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",4,4,0.03,1260,0.023,21,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",4,5,0.03,1262,0.024,20.03,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",4,6,0.03,1257,0.028,20.1,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",4,7,0.03,1254,0.027,20.61,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",4,8,0.03,1277,0.026,20.21,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",4,9,0.03,1274,0.017,19.79,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",4,10,0.03,1254,0.03,20.48,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",8,1,0.03,2679,0.03,29.97,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",8,2,0.03,2714,0.03,30.96,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",8,3,0.03,2701,0.026,30.77,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",8,4,0.03,2784,0.03,31.27,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",8,5,0.03,2713,0.029,30.25,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",8,6,0.03,2707,0.029,29.5,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",8,7,0.03,2689,0.028,30.92,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",8,8,0.03,2743,0.03,29.79,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",8,9,0.03,2770,0.029,29.51,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",8,10,0.03,2715,0.03,30.33,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",16,1,0.03,4809,0.03,38.98,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",16,2,0.03,4848,0.03,40.65,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",16,3,0.03,4924,0.03,40.2,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",16,4,0.03,4817,0.03,43.15,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",16,5,0.03,4815,0.03,38.92,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",16,6,0.03,4819,0.03,38.95,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",16,7,0.03,4814,0.03,40.06,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",16,8,0.03,4833,0.03,39.44,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",16,9,0.03,4834,0.03,39.5,"no","no","Zoltan-AlgD","km1",0
