"graph","k","epsilon","seed","km1","imbalance","totalPartitionTime","objective","algorithm","failed","timeout","cut"
"2cubes_sphere.mtx.hgr",8,0.03,10,19520,0.0143453929219,114.299,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,1,29189,0.0186002522068,149.828,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,2,28752,0.0264817150063,141.278,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,3,29007,0.0126103404792,134.393,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,4,28577,0.0181273644388,140.418,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,5,28900,0.0261664564943,129.417,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,6,29069,0.0296343001261,143.208,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,7,28803,0.014974779319,127.747,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,8,28924,0.0208070617907,147.488,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,9,28854,0.0242749054224,133.826,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,10,28538,0.0168663303909,136.739,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,1,40470,0.0186002522068,177.295,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,2,40001,0.015447667087,163.153,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,3,39883,0.0167087011349,168.092,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,4,40216,0.0176544766709,163.614,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,5,40515,0.0239596469105,168.613,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,6,40028,0.0192307692308,155.79,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,7,40302,0.0173392181589,170.602,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,8,40275,0.0230138713745,177.025,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,9,40327,0.0173392181589,172.775,"km1","hMetis-R","no","no",0
