"graph","k","epsilon","seed","km1","imbalance","totalPartitionTime","objective","algorithm","failed","timeout","cut"
"2cubes_sphere.mtx.hgr",4,0.03,6,11497,0.0266425,2.784092,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,7,11206,0.0296772,2.778751,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,8,11432,0.0153313,2.836197,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,9,11910,0.0299531,2.868849,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,10,11479,0.0294407,2.765687,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,1,19921,0.0299519,3.922335,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,2,20286,0.0285331,3.905565,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,3,20260,0.0299519,3.90177,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,4,19978,0.0282179,3.881218,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,5,20272,0.0294002,4.024803,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,6,20715,0.0296366,3.957335,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,7,20192,0.0267203,3.96226,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,8,19858,0.0285331,3.897643,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,9,20747,0.0269567,3.97203,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,10,20332,0.0288484,3.878357,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,1,29591,0.0297919,5.028596,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,2,30065,0.0297919,4.967835,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,3,29519,0.0290038,5.041184,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,4,30143,0.0297919,5.052335,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,5,29460,0.0297919,5.133323,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,6,29203,0.0297919,5.013727,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,7,29771,0.0297919,5.04182,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,8,29168,0.0297919,5.005122,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,9,29610,0.0297919,4.928335,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,10,29320,0.0297919,5.104679,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,1,41367,0.0296343,6.069757,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,2,41335,0.0296343,6.112166,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,3,41321,0.0296343,6.132717,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,4,41406,0.0296343,6.140319,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,5,41394,0.0296343,6.164067,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,6,41678,0.0296343,6.111208,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,7,40990,0.0296343,6.132474,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,8,40556,0.0296343,6.112146,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,9,41338,0.0296343,6.092914,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,10,41929,0.0296343,6.036937,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,1,56810,0.0296343,7.308636,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,2,56324,0.0296343,7.257724,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,3,56599,0.0296343,7.103815,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,4,56160,0.0296343,7.25139,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,5,56633,0.0296343,7.196577,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,6,55553,0.0296343,7.155421,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,7,55777,0.0296343,7.200259,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,8,56521,0.0296343,7.25835,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,9,55996,0.0296343,7.201429,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,10,55947,0.0296343,7.327252,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,1,75009,0.0290038,8.567811,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,2,75851,0.0290038,8.552094,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,3,75995,0.0290038,8.563366,"km1","Mondriaan","no","no",0
