"graph","k","epsilon","seed","objective","km1","imbalance","totalPartitionTime","algorithm","failed","timeout","cut"
"2cubes_sphere.mtx.hgr",32,0.03,9,"kMinusOne",41497,0.00662042875158,2.071,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,10,"kMinusOne",41710,0.00441361916772,2.071,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,1,"kMinusOne",56709,0.00378310214376,2.489,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,2,"kMinusOne",56554,0.00441361916772,2.499,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,3,"kMinusOne",56431,0.0100882723834,2.501,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,4,"kMinusOne",56537,0.00441361916772,2.514,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,5,"kMinusOne",56366,0.00504413619168,2.494,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,6,"kMinusOne",56582,0.00441361916772,2.477,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,7,"kMinusOne",56761,0.00504413619168,2.504,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,8,"kMinusOne",57292,0.00504413619168,2.484,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,9,"kMinusOne",56829,0.00378310214376,2.505,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,10,"kMinusOne",56912,0.0031525851198,2.487,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,1,"kMinusOne",75644,0.00378310214376,2.931,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,2,"kMinusOne",75523,0.00378310214376,2.956,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,3,"kMinusOne",75601,0.00504413619168,2.954,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,4,"kMinusOne",76134,0.00378310214376,2.951,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,5,"kMinusOne",75962,0.0063051702396,2.952,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,6,"kMinusOne",75946,0.00378310214376,2.926,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,7,"kMinusOne",75901,0.00756620428752,2.957,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,8,"kMinusOne",75900,0.00504413619168,2.938,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,9,"kMinusOne",75896,0.00378310214376,2.94,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,10,"kMinusOne",75901,0.00504413619168,2.946,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,1,"kMinusOne",470,0,0.117,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,2,"kMinusOne",471,3.70233246945e-05,0.117,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,3,"kMinusOne",468,0,0.117,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,4,"kMinusOne",470,3.70233246945e-05,0.118,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,5,"kMinusOne",471,0,0.118,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,6,"kMinusOne",468,3.70233246945e-05,0.116,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,7,"kMinusOne",470,0,0.116,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,8,"kMinusOne",468,0.00192521288412,0.116,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,9,"kMinusOne",468,0,0.117,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,10,"kMinusOne",469,7.40466493891e-05,0.116,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,1,"kMinusOne",1253,7.40466493891e-05,0.222,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,2,"kMinusOne",1250,7.40466493891e-05,0.221,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,3,"kMinusOne",1261,0.00399851906701,0.226,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,4,"kMinusOne",1264,0.000296186597556,0.223,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,5,"kMinusOne",1249,7.40466493891e-05,0.225,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,6,"kMinusOne",1254,7.40466493891e-05,0.223,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,7,"kMinusOne",1248,7.40466493891e-05,0.224,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,8,"kMinusOne",1256,7.40466493891e-05,0.222,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,9,"kMinusOne",1276,7.40466493891e-05,0.225,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,10,"kMinusOne",1251,7.40466493891e-05,0.223,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,1,"kMinusOne",2756,0.000148082333778,0.333,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,2,"kMinusOne",2672,0.000148082333778,0.334,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,3,"kMinusOne",2776,0.000148082333778,0.334,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,4,"kMinusOne",2765,0.000444247001333,0.333,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,5,"kMinusOne",2704,0,0.333,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,6,"kMinusOne",2720,0.000148082333778,0.334,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,7,"kMinusOne",2676,0.000148082333778,0.332,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,8,"kMinusOne",2721,0.00681178735377,0.334,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,9,"kMinusOne",2683,0.000296164667555,0.332,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,10,"kMinusOne",2720,0,0.331,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,1,"kMinusOne",4868,0.000296120817293,0.446,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,2,"kMinusOne",4794,0.00384957062481,0.444,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,3,"kMinusOne",4874,0.00088836245188,0.446,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,4,"kMinusOne",4758,0.000296120817293,0.448,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,5,"kMinusOne",4928,0.000296120817293,0.445,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,6,"kMinusOne",4860,0.000296120817293,0.448,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,7,"kMinusOne",4926,0.000296120817293,0.446,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,8,"kMinusOne",4763,0.000296120817293,0.447,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,9,"kMinusOne",4915,0.000296120817293,0.447,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,10,"kMinusOne",4814,0.000296120817293,0.447,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,1,"kMinusOne",7498,0.00355239786856,0.566,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,2,"kMinusOne",7519,0.00414446417999,0.562,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,3,"kMinusOne",7427,0.00473653049142,0.568,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,4,"kMinusOne",7344,0.00177619893428,0.566,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,5,"kMinusOne",7400,0.00414446417999,0.569,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,6,"kMinusOne",7433,0.00355239786856,0.565,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,7,"kMinusOne",7484,0.00177619893428,0.567,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,8,"kMinusOne",7439,0.00532859680284,0.567,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,9,"kMinusOne",7539,0.00355239786856,0.564,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,10,"kMinusOne",7435,0,0.568,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,1,"kMinusOne",11492,0.00236686390533,0.695,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,2,"kMinusOne",11426,0.00118343195266,0.698,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,3,"kMinusOne",11249,0.00473372781065,0.699,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,4,"kMinusOne",11441,0.00473372781065,0.699,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,5,"kMinusOne",11415,0.00473372781065,0.704,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,6,"kMinusOne",11325,0.00473372781065,0.701,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,7,"kMinusOne",11371,0.00828402366864,0.7,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,8,"kMinusOne",11459,0.00355029585799,0.697,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,9,"kMinusOne",11360,0.00473372781065,0.698,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,10,"kMinusOne",11397,0.00828402366864,0.7,"PaToH-D","no","no",0
