"graph","k","epsilon","seed","objective","km1","imbalance","totalPartitionTime","algorithm","failed","timeout","cut"
"192bit.mtx.hgr",128,0.03,7,"km1",68902,0.0289999999999999,51.73,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",128,0.03,8,"km1",68878,0.0289999999999999,51.86,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",128,0.03,9,"km1",68871,0.0289999999999999,50.04,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",128,0.03,10,"km1",69007,0.0289999999999999,52.54,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,1,"km1",4073,0.03,113,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,2,"km1",4007,0.03,118.78,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,3,"km1",4036,0.022,102.96,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,4,"km1",4163,0.01,112.85,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,5,"km1",4005,0.03,121.87,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,6,"km1",4029,0.03,114.55,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,7,"km1",4023,0.03,108.43,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,8,"km1",3939,0.03,122.76,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,9,"km1",4118,0.03,113.04,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,10,"km1",4045,0.03,109.04,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,1,"km1",11221,0.0289999999999999,223.98,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,2,"km1",11149,0.03,226.14,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,3,"km1",11113,0.03,217.74,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,4,"km1",11135,0.0229999999999999,216.73,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,5,"km1",11393,0.03,224.01,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,6,"km1",11560,0.03,218.85,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,7,"km1",11298,0.026,231.88,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,8,"km1",11471,0.03,224.13,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,9,"km1",11264,0.03,236.68,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,10,"km1",11119,0.03,229.23,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,1,"km1",20240,0.03,324.34,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,2,"km1",19682,0.03,330.11,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,3,"km1",20069,0.03,316.7,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,4,"km1",19899,0.03,324,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,5,"km1",19848,0.03,318.17,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,6,"km1",20090,0.03,314.51,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,7,"km1",20163,0.03,328.15,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,8,"km1",19777,0.03,320.88,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,9,"km1",19953,0.03,327.61,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,10,"km1",20013,0.03,321.32,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,1,"km1",28989,0.03,422.45,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,2,"km1",29391,0.03,424.35,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,3,"km1",29372,0.03,411.86,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,4,"km1",29607,0.03,418.75,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,5,"km1",29754,0.03,419.96,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,6,"km1",29509,0.03,407.06,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,7,"km1",29539,0.03,425.87,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,8,"km1",29660,0.03,411.45,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,9,"km1",29400,0.03,426.26,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,10,"km1",29176,0.03,414.34,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,1,"km1",40799,0.03,509.66,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,2,"km1",40886,0.03,512.68,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,3,"km1",40667,0.03,499.89,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,4,"km1",41378,0.03,498.29,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,5,"km1",41388,0.03,502.69,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,6,"km1",40879,0.03,492.36,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,7,"km1",41011,0.03,506.93,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,8,"km1",40921,0.03,502.18,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,9,"km1",40584,0.03,505.72,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,10,"km1",40791,0.03,503.37,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,1,"km1",55805,0.03,587.35,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,2,"km1",56108,0.03,585.01,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,3,"km1",55403,0.03,583.51,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,4,"km1",56335,0.03,577.4,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,5,"km1",55382,0.03,585.47,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,6,"km1",55598,0.03,589.08,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,7,"km1",55864,0.03,595.55,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,8,"km1",56004,0.03,588.69,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,9,"km1",55767,0.03,589.59,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,10,"km1",55427,0.03,585.98,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,1,"km1",73894,0.03,661.7,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,2,"km1",74095,0.03,661.06,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,3,"km1",74165,0.0289999999999999,654.68,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,4,"km1",74597,0.03,644.16,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,5,"km1",74279,0.03,655.84,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,6,"km1",74704,0.03,657.31,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,7,"km1",74277,0.03,657.66,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,8,"km1",75219,0.03,657.05,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,9,"km1",74479,0.03,657.67,"Zoltan-AlgD","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,10,"km1",74754,0.03,659.49,"Zoltan-AlgD","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,1,"km1",470,0.03,24.08,"Zoltan-AlgD","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,2,"km1",470,0.03,24.48,"Zoltan-AlgD","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,3,"km1",468,0.012,24.83,"Zoltan-AlgD","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,4,"km1",477,0.03,22.53,"Zoltan-AlgD","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,5,"km1",475,0.002,22.81,"Zoltan-AlgD","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,6,"km1",470,0.0249999999999999,22.61,"Zoltan-AlgD","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,7,"km1",472,0.0269999999999999,22.79,"Zoltan-AlgD","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,8,"km1",475,0.01,23.11,"Zoltan-AlgD","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,9,"km1",469,0.002,22.63,"Zoltan-AlgD","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,10,"km1",471,0.0149999999999999,22.68,"Zoltan-AlgD","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,1,"km1",1270,0.0269999999999999,44.25,"Zoltan-AlgD","no","no",0
