,graph,k,epsilon,km1,imbalance,objective,totalPartitionTime,algorithm,failed,timeout,cut
103,atmosmodj.mtx.hgr,64,0.03,892093,0.0,km1,8.283,HYPE,no,no,0
104,atmosmodj.mtx.hgr,128,0.03,1205024,0.0,km1,7.941,HYPE,no,no,0
105,av41092.mtx.hgr,2,0.03,10732,0.0,km1,0.8540000000000001,HYPE,no,no,0
106,av41092.mtx.hgr,4,0.03,20988,0.0,km1,0.846,HYPE,no,no,0
107,av41092.mtx.hgr,8,0.03,30432,0.0,km1,0.8590000000000001,HYPE,no,no,0
108,av41092.mtx.hgr,16,0.03,40978,0.0,km1,0.855,HYPE,no,no,0
109,av41092.mtx.hgr,32,0.03,50542,0.0,km1,0.85,HYPE,no,no,0
110,av41092.mtx.hgr,64,0.03,69766,0.0,km1,0.857,HYPE,no,no,0
111,av41092.mtx.hgr,128,0.03,94430,0.0,km1,0.8490000000000001,HYPE,no,no,0
112,barrier2-1.mtx.hgr,2,0.03,46929,0.0,km1,2.085,HYPE,no,no,0
113,barrier2-1.mtx.hgr,4,0.03,109308,0.0,km1,2.0340000000000003,HYPE,no,no,0
114,barrier2-1.mtx.hgr,8,0.03,157927,0.0,km1,1.9809999999999999,HYPE,no,no,0
115,barrier2-1.mtx.hgr,16,0.03,187360,0.0,km1,1.909,HYPE,no,no,0
116,barrier2-1.mtx.hgr,32,0.03,230104,0.0,km1,1.869,HYPE,no,no,0
117,barrier2-1.mtx.hgr,64,0.03,266519,0.0,km1,1.864,HYPE,no,no,0
118,barrier2-1.mtx.hgr,128,0.03,312556,0.0,km1,1.91,HYPE,no,no,0
119,Baumann.mtx.hgr,2,0.03,18833,0.0,km1,0.5670000000000001,HYPE,no,no,0
120,Baumann.mtx.hgr,4,0.03,35703,0.0,km1,0.56,HYPE,no,no,0
121,Baumann.mtx.hgr,8,0.03,42950,0.0,km1,0.54,HYPE,no,no,0
122,Baumann.mtx.hgr,16,0.03,57054,0.0,km1,0.544,HYPE,no,no,0
123,Baumann.mtx.hgr,32,0.03,71878,0.0,km1,0.545,HYPE,no,no,0
124,Baumann.mtx.hgr,64,0.03,86579,0.0,km1,0.542,HYPE,no,no,0
125,Baumann.mtx.hgr,128,0.03,105201,0.0,km1,0.537,HYPE,no,no,0
126,bayer04.mtx.hgr,2,0.03,6613,0.0,km1,0.086,HYPE,no,no,0
127,bayer04.mtx.hgr,4,0.03,12338,0.0,km1,0.087,HYPE,no,no,0
128,bayer04.mtx.hgr,8,0.03,17114,0.0,km1,0.08800000000000001,HYPE,no,no,0
129,bayer04.mtx.hgr,16,0.03,21065,0.0,km1,0.08800000000000001,HYPE,no,no,0
130,bayer04.mtx.hgr,32,0.03,27098,0.0,km1,0.08800000000000001,HYPE,no,no,0
131,bayer04.mtx.hgr,64,0.03,30876,0.0,km1,0.086,HYPE,no,no,0
132,bayer04.mtx.hgr,128,0.03,38602,0.0,km1,0.085,HYPE,no,no,0
133,bbmat.mtx.hgr,2,0.03,10487,0.0,km1,0.64,HYPE,no,no,0
134,bbmat.mtx.hgr,4,0.03,18886,0.0,km1,0.6609999999999999,HYPE,no,no,0
135,bbmat.mtx.hgr,8,0.03,37937,0.0,km1,0.6729999999999999,HYPE,no,no,0
136,bbmat.mtx.hgr,16,0.03,59432,0.0,km1,0.6729999999999999,HYPE,no,no,0
137,bbmat.mtx.hgr,32,0.03,94581,0.0,km1,0.6609999999999999,HYPE,no,no,0
138,bbmat.mtx.hgr,64,0.03,138658,0.0,km1,0.659,HYPE,no,no,0
139,bbmat.mtx.hgr,128,0.03,204943,0.0,km1,0.664,HYPE,no,no,0
140,bcsstk29.mtx.hgr,2,0.03,4896,0.0,km1,0.2,HYPE,no,no,0
141,bcsstk29.mtx.hgr,4,0.03,8230,0.0,km1,0.19899999999999998,HYPE,no,no,0
