"graph","k","epsilon","seed","objective","km1","imbalance","totalPartitionTime","algorithm","failed","timeout","cut"
"2cubes_sphere.mtx.hgr",16,0.03,7,"kMinusOne",28967,0,9.443,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,8,"kMinusOne",29119,0,8.929,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,9,"kMinusOne",29329,0,9.056,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,10,"kMinusOne",29538,0,9.353,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,1,"kMinusOne",40780,0,11.078,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,2,"kMinusOne",40656,0.00346784363178,11.547,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,3,"kMinusOne",40769,0,11.618,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,4,"kMinusOne",40397,0,11.18,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,5,"kMinusOne",41172,0,11.502,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,6,"kMinusOne",41091,0.00189155107188,11.101,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,7,"kMinusOne",40585,0,11.264,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,8,"kMinusOne",40456,0.00378310214376,11.402,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,9,"kMinusOne",40939,0,11.758,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,10,"kMinusOne",40468,0.00063051702396,11.206,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,1,"kMinusOne",55237,0,13.827,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,2,"kMinusOne",55158,0,13.333,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,3,"kMinusOne",54890,0.00189155107188,13.781,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,4,"kMinusOne",55714,0,14.103,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,5,"kMinusOne",55314,0,13.796,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,6,"kMinusOne",54955,0,14.157,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,7,"kMinusOne",55523,0,14.143,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,8,"kMinusOne",55588,0.0031525851198,14.252,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,9,"kMinusOne",54802,0,13.775,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,10,"kMinusOne",55210,0,13.497,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,1,"kMinusOne",74191,0.00252206809584,15.91,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,2,"kMinusOne",74081,0,16.516,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,3,"kMinusOne",74189,0.00252206809584,16.282,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,4,"kMinusOne",74431,0.00126103404792,16.466,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,5,"kMinusOne",74330,0.00126103404792,17.143,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,6,"kMinusOne",74239,0.00126103404792,15.915,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,7,"kMinusOne",74355,0.00252206809584,16.08,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,8,"kMinusOne",73919,0.00252206809584,16.706,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,9,"kMinusOne",73766,0.00252206809584,16.349,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,10,"kMinusOne",74466,0.00252206809584,16.001,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,1,"kMinusOne",466,0,0.428,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,2,"kMinusOne",471,3.70233246945e-05,0.399,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,3,"kMinusOne",466,0,0.399,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,4,"kMinusOne",467,0.000259163272862,0.42,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,5,"kMinusOne",466,0,0.414,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,6,"kMinusOne",467,3.70233246945e-05,0.401,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,7,"kMinusOne",469,0,0.409,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,8,"kMinusOne",469,3.70233246945e-05,0.403,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,9,"kMinusOne",468,0,0.403,"PaToH-Q","no","no",0
